name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Tom Ford Lost Cherry 失落櫻桃中性淡香精,酒釀櫻桃的意象貫穿了整支香水，酸甜之中帶有杏仁的苦味、香草的溫暖和木質調的乾燥氛圍。有人說它是「行走的春藥」，這形容或許有些豔麗，但它的確不是青春少女的甜美，而是優雅細緻、高級的性感，非常適合在約會時穿。,花果甜美調,黑櫻桃、櫻桃甜酒、苦杏仁,酸櫻桃糖漿、土耳其玫瑰、雙瓣茉莉,秘魯香脂、烤零陵香豆、檀香、香根草、雪松,https://www.1976.com.tw/prod/18797
Maison Margiela Bubble Bath 泡泡浴淡香水,"肥皂泡香調和椰子精華重現熱泡沫浴的舒緩感覺。
用厚毛巾包裹自己的舒適感，讓白麝香和廣藿香變得觸手可及。",柑苔調,肥皂泡、粉紅胡椒、佛手柑,玫瑰精華、薰衣草、茉莉,椰子、廣藿香、白麝香,https://www.1976.com.tw/prod/19609
Clean Reserve Sel Santal 煙霞檀香淡香精,Clean Reserve Sel Santal 是一款深邃的木質香氛，融合了果香、鹹海氣息以及檀香和琥珀的香氣。溫暖、柔滑、卻又粗獷成熟的檀香氣息。雖然它略帶陽剛之氣，但任何人都可以使用。對我來說，它就像一個溫暖的擁抱。,木質調 、 誘人美食調,柑橘葉、佛手柑、肉荳蔻,鳶尾花、鹹無花果、紫羅蘭、榛果奶油基調,檀香、琥珀、蘇合香、玫瑰、麝香,https://www.1976.com.tw/prod/22807
Acqua Di Parma Fico Di Amalfi 藍色地中海無花果中性淡香水,曾在歐洲居住數年，這個清新的無花果香氣，很特別，沒有一般無花果香水常見的奶油般厚重甜感，並且馬上讓我想起，西班牙馬約卡島，以及馬爾他島的藍色地中海風情，這個香氣，會讓你有一秒飛到歐洲海邊度假的感覺，很有情境感。對於亞洲人而言，這款營造出的異國風情相當立體，屬於情境轉移類的香水。,木質清新調 、 柑橘調,佛手柑、檸檬，西柚、柑橘、橘子,無花果、粉紅胡椒、茉莉,麝香、雪松、無花果蜜,https://www.1976.com.tw/prod/17267
Diptyque Vetyverio 維堤里歐中性淡香精,插圖的鳶尾與竹子細節，帶出這支香給人的紫色感受，青草般的開始但是漸次地加重了迷濛的紫色系，略有日本庭園裡幽靜池塘的神祕氣息，但是香調成分竟然不是鳶尾花/鳶尾草與竹子~,木質花香調 、 柑橘調,檸檬、柚子、萊姆、橘子,天竺葵、依蘭、玫瑰、紅蘿蔔籽、肉豆蔻、丁香,香根草、白麝香、雪松木,https://www.1976.com.tw/prod/18389
Jean Paul Gaultier Le Male Pride 高堤耶我驕傲限量版中性淡香水(2024),法國時裝品牌 Jean Paul Gaultier 高提耶，推出了2024 限量「我驕傲限量版」， 在街上高舉愛的旗幟，慶祝Jean Paul Gaultier的自由精神，讓愛無需隱藏吧！,東方清新調,柑橘、 柚子,橙花,麝香 木質調,https://www.1976.com.tw/prod/22883
Maison Margiela Bubble Bath 泡泡浴淡香水迷你瓶,"肥皂泡香調和椰子精華重現熱泡沫浴的舒緩感覺。
用厚毛巾包裹自己的舒適感，讓白麝香和廣藿香變得觸手可及。",柑苔調,肥皂泡、粉紅胡椒、佛手柑,玫瑰精華、薰衣草、茉莉,椰子、廣藿香、白麝香,https://www.1976.com.tw/prod/20818
Diptyque Duelle 杜耶爾淡香水,杜耶爾真的是我在diptyque家最喜歡的前三名吧！香味很溫和不會過分濃烈，男女都可穿，使用的年齡層也很廣，很溫暖的香味有種在森林小木屋使用壁爐的感覺，冷冷的冬天使用杜耶爾很療瘉，也非常適合當侍寢香可以安穩入眠,東方調,東方調,香草、粉紅胡椒,菖蒲,https://www.1976.com.tw/prod/18857
Maison Margiela Beach Walk 沙灘漫步女性淡香水,前調的檸檬、佛手柑沒有很明顯，微微的，我覺得這瓶的主角是椰奶和一個香香的味道，不確定是香調表中依蘭還是天芥菜？後調則是延續中調的椰奶混合一種令人安心的味道，我覺得出門約會和睡覺時都很適合擦，睡眠八個小時，睡醒後椰奶的味道不見，剩下麝香的味道。,木質花香調 、 誘人美食調,檸檬、佛手柑、粉紅胡椒,椰奶、依蘭、天芥菜,麝香、安息香、雪松,https://www.1976.com.tw/prod/18964
Acqua Di Parma Bergamotto di Calabria 藍色地中海佛手柑中性淡香水,Blu Mediterraneo Bergamotto di Calabria 是一款表達卡拉布里亞地區精髓的香水，擁有豐富的傳統，海岸的色彩和氣味激發感官。閃閃發光的佛手柑香調與雪松、紅薑和香根草的香調相結合，營造出愉悅的感覺。,薑、雪松 、花香調,佛手柑 、香櫞,,香根草、麝香、安息香,https://www.1976.com.tw/prod/19154
Byredo Eyes Closed 無型之形淡香精,傳統的嗅覺玫瑰大馬士革的香味因變暗而扭曲。作為愛和奉獻的經典象徵，玫瑰在黑玫瑰中變得頹廢和骯髒，幾乎具有野獸般的品質。,柑苔調 、 辛辣調,肉桂、綠荳蔻,胡蘿蔔籽、生薑 、鳶尾草,廣藿香、紙莎草,https://www.1976.com.tw/prod/21652
阿蒂仙之香 DZONGKHA 梵音藏心淡香水,很久以前試香過這支，當下就覺得很特別，之後去過西藏，買了藏香，一直覺得很熟悉，原來就是這個味道，後調讓人覺得很平靜溫柔，過去有段時間停產，好不容易在1976再度相遇，值得。喜歡藏香的朋友可以入手,皮革香調、印度香附、鳶尾花,小荳蔻、荔枝、牡丹,西洋杉木、藏香、岩蘭草、藏奶茶,,https://www.1976.com.tw/prod/4674
Diptyque Duelle 杜耶爾淡香精,一款充滿對比的香水。令人著迷的波旁香草味，被岩薔薇和降龍涎香醚的木質動物氣息喚醒。,茶香清新調 、 東方調 、 辛辣調,粉紅胡椒、荳蔻,乳香、印度紅茶,香草、岩蘭草,https://www.1976.com.tw/prod/19521
Etat Libre d'OrangeDangerous Complicity 解放橘郡危險同謀淡香精,一旦生薑和朗姆酒的催情衝動燃燒殆盡，這款香水就會揭開水果、花朵和果肉之間的熱情契約。,木質東方調 、 東方花香調 、 皮革香調 、 辛辣調,朗姆酒、生薑、椰子、月桂葉,桂花精華、茉莉精華、依蘭、廣藿香、皮革,Lorenox、檀香、羊絨木,https://www.1976.com.tw/prod/20776
