ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
356083,香奈儿,1940,本色香奈儿 Chanel Le 1940 Beige de Chanel,1931,,鸢尾花,茉莉,橡木苔 龙涎香,
749471,香奈儿,5号香精版百家乐限定,Chanel N°5 Parfum Baccarat Grand Extrait,2021,,醛 依兰 橙花油 香柠檬 柠檬,鸢尾花 鸢尾根 茉莉 玫瑰 铃兰,麝猫香 檀香木 橡木苔 香根草 广藿香 琥珀 麝香 香草,
472811,香奈儿,魅力香发喷雾,Chanel Allure Hair Mist,0000,,,,,玫瑰 橘子 香草
991809,香奈儿,1940,蔚蓝 Chanel Le 1940 Bleu de Chanel,1931,,醛 百合,醋栗叶 铃兰 紫罗兰 仙客来,香根草 檀香木 雪松,
122455,香奈儿,1940,性感香奈儿 Chanel Le 1940 Rouge de Chanel,1931,,天竺葵 醛,玫瑰 紫罗兰,琥珀 香根草,
708730,香奈儿,46号,Chanel N°46,1946,,香柠檬 橙花油 橙子,玫瑰 依兰 茉莉 铃兰,鸢尾根 麝香 檀香木 香草 孜然 香根草,
912439,香奈儿,嘉柏丽尔柔雾,Chanel Gabrielle Fragrance Primer,2025,,黑加仑 葡萄柚 橘子,晚香玉 橙花 茉莉 依兰,麝香 檀香木,
653606,香奈儿,Chanel,Coco Mademoiselle Fragrance Primer,2025,,香柠檬 橙花 橘子 橙子,茉莉 玫瑰 含羞草 依兰,红没药 广藿香 香根草 零陵香豆 麝香 香草,
803356,香奈儿,珍藏系列-东方屏风淡香水,Chanel Les Exclusifs de Chanel Coromandel,2007,8.5,苦橙 橙花油 柑橘,广藿香 鸢尾根 玫瑰 茉莉,安息香脂 白巧克力 木质 焚香 香草 乳香 麝香,
256912,香奈儿,5号之水,Chanel N°5 L'Eau,2016,8.1,醛 柠檬 橘子 橙子,依兰 茉莉 玫瑰,麝香 鸢尾根 雪松 香根草,
777924,香奈儿,邂逅清新（绿邂逅）淡香水,Chanel Chance Eau Fraiche,2007,7.9,柠檬 雪松 香橼,凤眼兰 粉红胡椒 茉莉,广藿香 麝香 香根草 柚木 鸢尾花 琥珀,
