name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Lacoste Essential 異想世界男性淡香水,"3,200","1,490",125ml,柑橘和檀香的味道一直很明顯，剛噴灑的時候會有些強烈，味道持續性很好，運動後使用似乎也不違和，其中因為胡椒味的參與，讓香味不至於太淘氣，幫柑橘的酸甜中和一下,草香清新調 、 柑橘清新調,番茄葉、柑橘,玫瑰、黑胡椒,檀香、廣藿香,https://www.1976.com.tw/prod/2692
Nautica Voyage 航海男性淡香水,"2,000",799,100ml,這款真的適合濕熱天氣的台灣，即使流汗的時候，不會破壞原來的氣味，而且在室內的味道不會太有攻擊性並且持久，健身房使用也恰當。,木質清新調,青蘋果、薄荷,含羞草、水蓮,麝香、木質琥珀、苔蘚,https://www.1976.com.tw/prod/4611
Banana Republc Black Walnut 黑胡桃木男性淡香水,"2,900","1,180",100ml 新版紙盒包裝,跟時下多種香調元素瘋狂混搭的主流相比，這是元素非常簡單的一支：干邑白蘭地、菸草、雪松三個主調各主前中後味(是的，並沒有胡桃木)，有了菸草與干邑的加持(or 陪襯？)，讓一支有可能淪為平凡的木質調香水變得相當有趣(天知道要找一支有個性的木質調香水，有多不容易！)。這不是陽光男孩們會喜歡的香水。要進入Black Walnut的世界，你可能需要一點年紀！,木質東方調,干邑白蘭地,菸草,雪松,https://www.1976.com.tw/prod/5148
Antonio Banderas Blue Seduction 安東尼奧班德拉斯‧藍色誘惑男性淡香水,980,750,50ml,在悶熱的夏天，噴上安東尼奧藍色誘惑，使整個人都清爽起來了很舒服.雖然這是一款男香，但我覺得帥氣的中性女孩也很適合!!!,柑橘清新調,薄荷、黑茶蔍子、佛手柑,小荳蔻、甜瓜,琥珀、雪松、咖啡,https://www.1976.com.tw/prod/6530
Kilian Straight to heaven 直衝天堂男性淡香精(忘我天堂) 行動香氛,"1,700","1,360",7.5ml 噴式,Kilian最標誌且有特色的香水之一，噴在身上聞起來的感覺猶如走進一座富有歷史與故事的酒窖，不久就能聞到淡淡乾果的甜香和剛打開木質酒桶聞到的強烈酒香，既辛辣又甘甜，層次感極為豐富，會立刻讓人聯想到經典的軒尼詩酒液，再加上好像有青苔附在牆面與地面上的潮濕氣息，非常有特色！只要談及酒香絕對不能少了這支。,木質調 、 誘人美食調 、 辛辣調,朗姆酒、乾果,香草、茉莉花、麝香、琥珀,廣藿香、肉荳蔻、雪松,https://www.1976.com.tw/prod/23216
Bentley Absolute 賓利絕對男性淡香精,"3,180","1,380",100ml,"成熟穩重的味道，混合著檀香與沉香的氣息，給人有種心靈安定的感覺。
適合使用32歲以上的男性，安全感十足！
厚實的肩膀能扛下一切的重擔！",木質東方調,生薑、粉色胡椒,乳香、紙莎草、檀木,雪松、琥珀、沉香木、苔蘚,https://www.1976.com.tw/prod/15836
Michael Jordan 喬丹空中飛人男性古龍水(藍色外盒),"1,980","1,250",100ml,用二十幾年的香水了，很棒，從來沒想過要換新香水，希望它不要斷貨,木質清新調 、 柑橘清新調,柑橘、常春藤、鼠尾草、檸檬、酸橙,茉莉、肉荳蔻、胡椒、小荳蔻,檀香、麝香、橡苔,https://www.1976.com.tw/prod/2639
Hollister 加州海浪男性淡香水,"1,850","1,050",100ml,初始是辣辣的柑橘皮味道，給人一種清涼陽光的感覺；緊接著檜木香十分搶戲，遠遠聞十分迷人，吸引人一親芳澤；靠近聞又會覺得檜木的香味很厚實。如果心儀的男生使用此香，對我而言是一支實打實的撲倒香。,木質清新調 、 柑橘調 、 海洋清新調,葡萄柚、鮮柚、竹葉,檜木、薰衣草、橙花,麝香、黑香豆、漂流木,https://www.1976.com.tw/prod/14193
Banana Republic Slate 清新男性淡香水,"2,900","1,150",100ml 新版紙盒包裝,"我買香水會看品牌，此品牌不太受到我的注意，經過小姐介紹，試噴在手腕上，味道柔和我的體溫真是讓人難忘。味道就如同它的名字一樣""清新""，讓人感到酷帥、有活力，非常適合夏天&amp;運動時噴，是我最愛的夏香之一~",東方清新調,小荳蔻、黑胡椒、干邑白蘭地,鼠尾草、肉豆蔻、菸草葉,香柏木、麝香,https://www.1976.com.tw/prod/5149
Lacoste Booster 煽動者男性淡香水(2022),"3,200","1,680",125ml,學院風的味道讓Booster不僅正式又活潑，成熟又同時年輕。開頭的薄荷、佛手柑與薄荷十分沁涼，和宜人的柑橘香平衡成一個經典夏季香組合。這番朝露般的清新，最後卻又帶有木質香參與其中，令人矛盾地摸不著頭緒，卻又享受這樣子的嗅覺饗宴。,柑橘清新調,薄荷、桉樹油、佛手柑、葡萄柚,薰衣草、羅勒、辣椒,香根草、檀香、雪松,https://www.1976.com.tw/prod/20955
Creed Aventus COLOGNE 阿文圖斯龍蘊男性淡香精,"11,800","8,980",100ml,「阿文圖斯 龍蘊」是「阿文圖斯」的清新版本。以新鮮的柑橘為基調，將原版的層次融入其中，打造出通透度更高、更適合在夏季使用的沁涼香氣。,花果清新調,粉紅胡椒、薑、柑橘,岩蘭草、廣藿香、鳳梨,樺木、安息香、麝香,https://www.1976.com.tw/prod/21775
Kilian Straight to heaven white cristal 直衝天堂男性淡香精(忘我天堂) refill 補充瓶,"7,500","4,500",50ml,Kilian最標誌且有特色的香水之一，噴在身上聞起來的感覺猶如走進一座富有歷史與故事的酒窖，不久就能聞到淡淡乾果的甜香和剛打開木質酒桶聞到的強烈酒香，既辛辣又甘甜，層次感極為豐富，會立刻讓人聯想到經典的軒尼詩酒液，再加上好像有青苔附在牆面與地面上的潮濕氣息，非常有特色！只要談及酒香絕對不能少了這支。,木質調 、 誘人美食調 、 辛辣調,朗姆酒、乾果,香草、茉莉花、麝香、琥珀,廣藿香、肉荳蔻、雪松,https://www.1976.com.tw/prod/21975
Rochas Moustache 小鬍子男性淡香精版本,"3,600","1,790",125ml,名字的靈感來自Van Dyck吹牛造型的鬍鬚及英國查理一世的肖像。Rochas Moustache 小鬍子男性淡香精，以性感為主要焦點的新香水。,木質東方調,粉紅胡椒、柑橘,阿特拉斯雪松、保加利亞玫瑰,安息香、香草、廣藿香,https://www.1976.com.tw/prod/19106
Michael Jordan 23 喬丹運動男性古龍水,"1,950","1,000",100ml,Michael Jordan 喬登推出第三款運動香水，適合送給喜歡運動的男生！,草香清新調 、 柑橘清新調,百里香、佛手柑、荳蔻,鼠尾草、杜松、迷迭香,麝香、香根草、廣藿香,https://www.1976.com.tw/prod/2863
Nautica Voyage Sport 航海運動男性淡香水,"2,000",799,100ml,"彷彿被粗獷又溫柔的肌肉男友從身後環抱，依靠在暖陽斜射的船帆上，充滿深度安穩的信賴感與滋養的幸福感。

很適合陽光男孩、運動型男、粗獷豪邁型男子使用～",海洋清新調,海浪、海鹽、香菜、柑橘,棕櫚葉、天竺葵、綠胡椒、蘋果,巴西木、麝香、廣藿香、香根草,https://www.1976.com.tw/prod/13984
Viktor & Rolf Spicebomb 激情炸彈男性淡香水,"3,500","2,250",50ml,剛噴在手上味道還蠻濃烈的，菸草的味道很明顯，慢慢地味道散去只剩後味時撲鼻而來的是清新的香味，是草味，非常的好聞，會忍不住一直聞手腕，每次看到必拿起來偷噴，而且香味很持久，上完班晚上回家身上還是可以聞到香水味。,東方調 、 皮革香調 、 辛辣調,佛手柑、西柚、粉紅胡椒,藏紅花、肉桂、辣椒,皮革、菸草、香根草,https://www.1976.com.tw/prod/11066
Tommy Bahama Maritime Deep Blue 海洋深藍男性古龍水,"2,750","1,280",125ml,有著陽剛沉穩木質柑苔調，適合任何季節、任何場合，雪松在後調加持下，變得很耐聞也很乾淨，當你穿上西裝襯衫，一定是加分，保證吸引許多異性，獨特的瓶身很適合收藏:D,木質清新調 、 柑苔調,佛手柑、杜松、迷迭香、荳蔻,睡蓮、小蒼蘭、天竺葵、鳶尾,雪松、苔蘚、廣藿香、麝香,https://www.1976.com.tw/prod/19255
Jaguar Red 紅色捷豹男性淡香水,"2,600",699,100ml 效期至2026.12,綜合莓果的酸甜，淡淡的茉莉花香，辣椒像是熱版的薄荷，清亮卻又溫暖，穩重貼身的木頭香，最後是溫潤的香草與東加豆。整體來看分為前段的熱力果香，以及後段的香草皮革。,木質調 、 辛辣調,覆盆子、黑醋栗、佛手柑,辣椒、茉莉花葉、氧氣,東加豆、廣藿香、琥珀、香草、雪松,https://www.1976.com.tw/prod/10333
Antonio Banderas King 安東尼奧班德拉斯王者誘惑男性淡香水,"1,500",880,100ml,前味熱帶水果的香甜味鮮明活潑的呈現男孩的調皮，中味慢慢的清新的花香味開始飄出呈現男人的優雅，後味是沉穩的木質香，呈現的是男人的成熟內斂，前中後味變化鮮明有別於Antonio Banderas其他香水香味比較偏大眾，是一款很有質感的香水。,柑橘清新調 、 海洋清新調,葡萄柚、佛手柑、鳳梨、哈密瓜、青蘋果,橙花、茉莉、小荳蔻、海洋調,雪松、香根草、琥珀、小山羊皮、白麝香,https://www.1976.com.tw/prod/12687
Tommy Bahama St Barts 男性古龍水,"2,100","1,350",100ml,,草香清新調 、 柑橘清新調 、 海洋清新調,青檸、龍舌蘭酒、海水、龍舌蘭,番石榴、綠葉、海鹽,麝香、香草、棕櫚葉,https://www.1976.com.tw/prod/18545
KENZO Power 原動力男性淡香水TESTER (新包裝),"2,840","1,399",75ml 原廠環保紙盒包裝，無瓶蓋,KENZO POWER從瓶身設計到味道轉變都令人驚艷！一開始由令人舒爽的柑橘至優雅的花香最後由沉穩的琥珀結束，富饒的變化噴了使人一天都有好心情！更適合優雅自在的男士。,東方花香調,佛手柑、東方柑橘、小豆蔻,小蒼蘭、茉莉、玫瑰,吐魯香脂、雪松、岩玫瑰,https://www.1976.com.tw/prod/20407
Michael Jordan 麥可喬丹一代同名男性古龍水,"1,950",999,100ml,"今天收到網站贈香,感覺上就是柑橘調的香水,但是必須說很容易在許多美國黑人身上聞到類似的香味,適合用於運動或是健身後,在某些品牌的沐浴乳中也可以發現有類似的影子,前調檸檬跟香檸檬帶出清新的感覺,中後調可以感覺到比較輕的草本味道(可能是艾草或是天竺葵)以及麝香, 留香時間的持久度以及擴香程度感覺上屬於中等偏低,仍有待觀察,屬於氣溫高的夏季以及春末秋初時間適合使用,不可否認是款讓多數人可以接受的一款香水",柑橘清新調,檸檬、青草、蜜柑、佛手柑,艾草、天竺葵、杜松,麝香、柑橘、橡樹苔,https://www.1976.com.tw/prod/7660
Nautica Voyage Heritage 航海之心男性淡香水,"2,000",870,100ml,Nautica Voyage Heritage 航海之心除了傳承 Nautica 品牌的冒險精神，更充分加入海洋的各種元素。,草香清新調,佛手柑、迷迭香、薄荷,薰衣草、薑、香根草,檀香、琥珀、香木,https://www.1976.com.tw/prod/16274
Valentino Born In Roma 訂製羅馬男性淡香水,"3,400","2,680",50ml,Valentino 2019年推出Born In Roma 訂製羅馬男性淡香水，點燃慶祝的火花，讓人想起夜晚的永恆之城。這款香水將原香的大膽基調轉向更溫暖、更感性的表達,香根草、木質香調,礦物元素、紫羅蘭葉、鹽,生薑、鼠尾草,,https://www.1976.com.tw/prod/22431
Tiffany & Love 愛語男性淡香水,"4,350","2,450",90ml,是非常典雅的男香，不似夜店香有很強的攻擊性，而是像愛語一樣在傾訴美好的事情。味道層次上不會很豐富，基調的檀香與雪松在本香水中扮演相當的角色，而輕柔的薑與茴香則帶出本香水中微微刺激的一面。,木質東方調 、 柑橘調,薑、柑橘、豆蔻,杜松、絲柏、天竺葵、薰衣草,藍杉、檀香、香根草,https://www.1976.com.tw/prod/17514
Creed Silver Mountain Water 銀色山泉男性淡香精,"8,180","6,500",50ml,輕盈水感的高價香水，噴下時未有濃厚酒精味，前調淡淡的檸檬及橘子，主要呈現茶香、黑醋栗以及淡麝香，非常適合喜歡不愛濃烈香水的人，不會有侵略性的擴香，持久性中等，以高價來期許味道的擴散或持久稍嫌不足，香調表未見常見高價元素，如烏木沉香等香味，雖國外有人說CREED此香用料昂貴，以清淡風格走高價會讓人覺得性價比不高，個人還是滿喜歡這支氣質香氛。,茶香清新調 、 柑橘清新調 、 海洋清新調,佛手柑、橘、橙花,海洋調、綠茶、黑醋栗嫩芽,檀香、麝香,https://www.1976.com.tw/prod/10148
Nautica Voyage N-83 男性淡香水,"2,000",850,100ml,"Nautica N-83
尾調的麝香和雪松柔和了前面的嗆辣，從夏日猛男過渡到夜晚在海灘散步的成熟男人。
*結論：這畢竟是個平民香，不能奢求他多持久，最多4、5小時。個人建議可以噴在日常或運動衣物上，他不適合穿在正式場合，比較適合用在一般日常（非上班日）或假日，在湖邊、海邊、健身房。",木質調 、 海洋清新調,海洋、薄荷、柑橘籽精粹,荳蔻、肉豆蔻、薰衣草,麝香、檀香、雪松,https://www.1976.com.tw/prod/11544
Guess Seductive 魅惑男性淡香水,"2,450",999,100ml,在試香時馬上愛上他的味道，立刻買下送給另一半。整體味道很舒適，從頭到尾都很木質調，不刺鼻、香味持久。適合成熟穩重的男性，在冬天使用也很適合。也推薦給女性當睡香。,木質東方調,卡德蒙乳膠、柑橘果漿、粉紅胡椒,香草蘭、紫羅蘭葉、香根草,琥珀木、檀香木、麝香、廣藿香,https://www.1976.com.tw/prod/9280
Viktor & Rolf Spicebomb Extreme 極限激情炸彈男性淡香精,"4,350","2,450",50ml,濃郁誘人的香草中帶有辛辣的黑胡椒，但除了香草味我確實有聞到一點點皮革的味道讓這隻更加性感，絕對會是一隻讓人注意到你的個性簽名香,,香芹籽、薰衣草、黑胡椒、煙草、香草,,,https://www.1976.com.tw/prod/15265
Valentino Born In Roma Intense 訂製羅馬馥郁男性淡香精,"3,700","2,960",50ml,Valentino 2023年推出Born In Roma Intense 訂製羅馬男性淡香精，點燃慶祝的火花，讓人想起夜晚的永恆之城。這款香水將原香的大膽基調轉向更溫暖、更感性的表達,東方調 、 辛辣調,琥珀、香草、生薑,肉豆蔻、薰衣草,香根草,https://www.1976.com.tw/prod/22028
Armand Basi In Blue 藍寶雅竹男性淡香水,"2,450","1,550",100ml,味道非常清新，給人很乾淨的感覺，女生用也很適合，非常喜歡！香味蠻持久的！,木質清新調,中國柑桔、葡萄柚、佛手柑、胡荽,橙花油、黑醋栗芽、胡椒、蓮花,亞洲薄荷、長青橡木、東方綜合木香,https://www.1976.com.tw/prod/4065
Banana Republic Cordovan 香蕉共和國哥多華男性淡香水,"2,650","1,050",100ml 紙盒包裝 效期至2026.10,一個寒冬中加拿大木屋內穿著皮革大衣走出戶外的男人，木質不至於太重，更偏向寒冬中的大自然，適合輕熟男,木質清新調,無花果葉、佛手柑,杜松果、薰衣草、肉豆蔻,葡萄皮、香根草、鳶尾草,https://www.1976.com.tw/prod/6211
Armand Basi In Blue 藍寶雅竹男性淡香水 TESTER,"3,480","1,050",100ml 原廠環保紙盒包裝，有瓶蓋,專為都會男性求新求變與前衛的特質而設計，前味來自地中海花園的佛手柑、中國柑桔及葡萄柚組合而成，並調入了少許的胡荽葉香增加質感。,木質清新調,中國柑桔、葡萄柚、佛手柑、胡荽,橙花油、黑醋栗芽、胡椒、蓮花,亞洲薄荷、長青橡木、東方綜合木香,https://www.1976.com.tw/prod/14842
Bentley For Men 賓利男士男性淡香水,"2,980","1,299",100ml,剛開始可以聞到帶著辛辣感的月桂葉、黑胡椒，進入中調先是浮現淡淡皮革氣味，之後是香甜的酒香，最後是帶著乾躁感的廣藿香與木香的雪松和做為背景的淡淡安息香甜味，整體給人成熟穩重的感覺，感覺適合28歲以上男性使用，是一支很符合賓利穩重形象的香水,東方清新調 、 辛辣調,黑胡椒、月桂葉、佛手柑,朗姆酒、肉桂、鼠尾草、皮革,雪松、廣藿香、麝香、暹羅安息香,https://www.1976.com.tw/prod/10882
Valentino Uomo 同名男性淡香水(2021),"3,400","2,380",50ml,1976送的試管香。從冬日試到最近(12月-3月中旬)。我聞到的香氣是，前面有清新的味道再加一點點的奶味，約5分鐘後，鳶尾的皂香出來，此時木質味道也開始淡淡的出現，呈現一種低調沈靜的感覺，這個香氣，在我身上會一直持續到最後。這支不論男女都適合，而且完全沒有一般男香那種怪怪的刮鬍水味。女生也非常合適使用。,木質花香調,佛手柑、檸檬,鳶尾花、香根草,雪松、小荳蔻、黑胡椒,https://www.1976.com.tw/prod/21521
LACOSTE Match Point 決勝點男性淡香水,"2,900","1,680",100ml,這是一款非常適合春夏初秋的、充滿綠意、辛辣清新的香水。我噴上它的時候，感覺非常清新。,草香清新調 、 木質清新調 、 柑苔調,羅勒、葡萄柚、粉紅胡椒,天竺葵、快樂鼠尾草、龍膽,開司米木、香根草,https://www.1976.com.tw/prod/22875
Armand Basi L'Eau Pour Homme 水藍男性淡香水,"2,750","1,212",125ml 效期至:2026.07,看似貌不驚人， 只有聞過的人才會愛上他， 清新的海洋味， 猶似海風吹過的感覺~~,木質清新調,佛手柑、薰衣草,小荳蔻、肉荳蔻、竹葉,苔蘚、廣藿香、地中海藍柏,https://www.1976.com.tw/prod/13395
Nautica Blue Sail 藍帆男性淡香水,"1,300",799,100ml,"很入門的味道，一開始有蘋果的微酸，慢慢地飄出海洋的感覺，
比起烈日的海邊，我覺得有徐徐微風的沙灘上更適合穿它，
愜意悠閒。",海洋清新調,綠蘋果葉精萃、蘋果籽精粹,海水微量元素,苔蘚、麝香、琥珀,https://www.1976.com.tw/prod/16242
Ralph Lauren Polo Blue 男性淡香水 TESTER,"3,650","1,500",125ml 原廠環保紙盒包裝，有瓶蓋,"湛藍的瓶身，在視覺上先給了我優雅的印象。
香味來說，瓜果的前味肯定能讓你有了愉悅的情緒，
接著馬鞭草的清新帶來平衡，而後味的沉穩，
在社交場合肯定能讓對方對你產生深刻印象。
也讓我這七八年來始終忠實！",草香清新調 、 柑橘清新調,天竺葵、 西瓜、 鼠尾草、 鮮黃瓜、 鮮橘,小羊皮、 苔蘚、 馬鞭草、 羅勒葉,琥珀、 廣藿香、 麝香,https://www.1976.com.tw/prod/14967
Creed Himalaya 喜馬拉雅男性香水,"11,800","7,699",100ml 新版無膠膜，外盒瑕疵,CREED 第六代傳人Olivier從巍峨險峻的世界第一高峰喜馬拉雅山發想而來。辛香、木香的主調帶出了尼泊爾山谷的芳香氣息，而前調的新鮮柑橘則表現了高山上清新的空氣。,木質東方調,佛手柑、葡萄柚、檸檬、柑橘,杜松果、肉豆蔻、檀香、岩蘭草、胡椒,龍涎香、麝香、東加豆,https://www.1976.com.tw/prod/10146
Viktor & Rolf Spicebomb Infrared 激情炸彈紅外線男性淡香水,"4,350","2,680",90ml,除了辛辣味，它與帶點酸甜的漿果味，加上肉桂與菸草，秋冬用持久度很不錯～,東方調 、 辛辣調,紅色漿果、粉紅胡椒、藏紅花,肉桂、紅辣椒,煙草、安息香,https://www.1976.com.tw/prod/19435
Philipp Plein No LIMIT$ Super Fre$h 無限藍海淡香水,"2,680","1,680",50ml,有了這款香水，我們就可以參加Philipp Plein的夏日派對。彷彿躺在杜拜的海灘上享受陽光的沐浴。,東方清新調 、 辛辣調,無花果、薰衣草、黑醋栗,白巧克力、葡萄柚、荳蔻、生薑、黑胡椒、佛手柑,檀木、香草,https://www.1976.com.tw/prod/21917
DKNY MEN 都會男性淡香水,"2,800","1,750",100ml,很舒服的香味唷~這瓶香水的感覺很有穩重成熟的韻味，很適合事業有成及上班族的同好使用唷^^,木質清新調,紅橙姜、長春藤葉,檜木毬果,檀香木、紅楓,https://www.1976.com.tw/prod/2641
Remy Latour Cigar 雪茄男性淡香水,"2,500",880,100ml,"溫暖、甜蜜、誘人,帶點肥皂味,後面開始有奶油與菸草味,味道濃到你離開坐位,味道仍然留在空氣中久久不散,性價比很高",木質東方調 、 辛辣調,佛手柑、檸檬、鳳梨、李子、梨,茉莉、天竺葵、月桂葉、金盞花,麝香、檀香、廣藿香、雪松、菸草,https://www.1976.com.tw/prod/17110
Nautica Blue 藍海男性淡香水,"1,650",699,100ml,一個入門款的安全香水，擴香度也不會太強，基本上不用擔心用錯場合，穿一般的休閒服裝或是剛運動完洗完澡都可以穿。適合陽光運動型的男生使用。可是味道真的轉淡很快，建議用分裝瓶攜帶，可以隨時補香。,海洋清新調,氧氣、佛手柑、鳳梨,茉莉、水百合、紫羅蘭,麝香、雪松、檀香,https://www.1976.com.tw/prod/4430
Perry Ellis Aqua 海藍男性淡香水,"2,700","1,390",100ml,適合剛入門的初學者。淡淡的香氣，清爽，不會過於濃郁。全年四季都可以穿，身邊若有討厭香水味的人，也不會排斥的。,木香調、龍涎香、香根草,佛手柑、非洲青檸,薰衣草、胡荽、海水,,https://www.1976.com.tw/prod/11781
Creed Green Irish Tweed 愛爾蘭之心淡香精,"11,800","8,260",100ml,"乍聞覺得不錯但沒特別感覺，但中、後味非常迷人，女生也能使用，帶著一點粉卻不膩的香氣，花香甜美優雅。
香氣立體(不知如何形容，有些香水聞起來較死板)，高級又雅緻的香氣，雖然是男香，但適合喜歡不那麼甜膩風格香水的女生。",草香清新調,檸檬、馬鞭草、薄荷,紫羅蘭葉,鳶尾花、檀香、龍涎香,https://www.1976.com.tw/prod/10145
Frederic Malle French Lover 馥馬爾香氛出版社法國情人淡香精,"8,000","5,600",50ml,Frederic Malle 在2007年推出了French Lover 法國情人淡香精，隨著辛香料和白松香的增強，當歸將其芳香、辛辣的氣息與鳶尾、雪松和香根草的圓滑優雅融為一體。廣藿香和白麝香的基調散發出近乎動物的性感氣息，為香氛帶來新的生命。,木質調 、 辛辣調,白松香、辛香料,當歸、雪松、鳶尾、焚香,香根草、廣藿香、白麝香,https://www.1976.com.tw/prod/21941
Aramis 雅男士經典同名男性淡香水,"2,300","1,350",110ml,大約是２０多年前吧，大學時期有朋友去美國（當年出國限制頗多），請他隨意帶瓶香水給我，結果是這罐我感覺有點像傳統美容院用的紳士髮水。味道很純正，當然有點老氣，通常我用在襯衫領口，一天下來，反而比剛用的時候好聞。適合年紀大一點或是成熟型的人，持久度也還不錯，大概七八個小時。,木質清新調,小茴香、梔子花、艾草、佛手柑,廣藿香、檀香木、茉莉、香根草,琥珀、皮革、橡木苔、海狸香,https://www.1976.com.tw/prod/3302
Lacoste L.12.12 Noir 經典純黑男性淡香水,"3,250","1,650",100ml,明亮冷靜、和清爽，有著名的鱷魚標誌裝飾，鱷魚的靈感來自於這名頑強冠軍的綽號。,草香清新調,羅勒、西瓜,薰衣草、馬鞭草,黑巧克力、喀什米爾木,https://www.1976.com.tw/prod/11441
Bentley Black Edition 黑色賓利男性淡香精,"3,180","1,350",100ml,同時收了3款木質調香水，黑澤，visit for man跟這多了胡椒辛香味。若以年齡區分瓶。這瓶明顯偏成熟西裝筆挺大人味！出席應酬場合絕對不會被掩蓋的重香,木質東方調,粉紅胡椒、橘子、肉荳蔻、紫羅蘭,紙莎草、廣藿香、茉莉,麝香、苔蘚、乳香、零陵香豆、雪松、乾燥木材,https://www.1976.com.tw/prod/16425
Lacoste L.12.12 Blanc 經典純白男性淡香水,"3,250","1,550",100ml,這款好像沒有很多人用，但是味道好清新，感覺男女皆適合，聞了不會特別把它歸類卻令人很喜歡的味道，跟白polo衫非常搭！,,葡萄柚、小荳蔻,晚香玉、伊蘭伊蘭,香根草、麂皮,https://www.1976.com.tw/prod/8665
Creed Green Irish Tweed 愛爾蘭之心淡香精 TESTER,,,,終於入了心心念念的愛爾蘭之心，前調含有濃濃馬鞭草的草本、白松香的泥土氣息，帶檸檬的微酸、薄荷的涼感使香氣更加清新。15分鐘後，紫羅蘭葉獨有的濃郁乾草氣味出現，彷彿徜徉在大片青草地上，中調的薰衣草讓香氣變得更加精緻。30分鐘後，後調加入龍涎香，隨著細緻檀香、乾燥雪松，將香味提高了好幾個檔次，香味輕盈、貼膚，帶有貴族感的氣息，非常高竿。,草香清新調,檸檬、馬鞭草、薄荷,紫羅蘭葉,鳶尾花、檀香、龍涎香,https://www.1976.com.tw/prod/22906
Missoni Pour Homme 型動力男性淡香精,"2,050","1,380",50ml,"自己本身不喜歡木質太重香味，但朋友送我一瓶小的，使用後發現這款木質調偏淡而且，整個主場香味感覺是由薰衣草帶著其他味道，搭配花果香及木質香，整個味道變得很舒服，出外時不用噴灑太多，他的擴香程度蠻廣的。
睡覺時也適合噴在身上",木質調,綠檸檬葉果泥、粉紅葡萄柚、薰衣草,地中海灌木、薑、果香玫瑰、茉莉花瓣,廣藿香、檀香、橡木、樺木、麝香,https://www.1976.com.tw/prod/17636
【身體系列】Lacoste L.12.12 Blanc 白色Polo衫體香膏,800,650,75g,這款好像沒有很多人用，但是味道好清新，感覺男女皆適合，聞了不會特別把它歸類卻令人很喜歡的味道，跟白polo衫非常搭！,,葡萄柚、小荳蔻,晚香玉、伊蘭伊蘭,香根草、麂皮,https://www.1976.com.tw/prod/23038
MFK A La Rose L'Homme 紳士玫瑰男性淡香精,"8,200","6,780",70ml,MFK 在2020年重新詮釋了帶有陽剛氣息的玫瑰，帶來L'Homme A la rose 紳士玫瑰男性淡香精，非常乾淨優雅的香味。,玫瑰花香調 、 木質花香調,葡萄柚、保加利亞大馬士革玫瑰,紫羅蘭、木質調、鼠尾草,格拉斯千葉玫瑰、廣藿香、岩玫瑰,https://www.1976.com.tw/prod/20531
Perry Ellis Aqua Extreme 海藍極致男性淡香水,"2,900","1,350",100ml,首先是瓶身吸引了我，再來是它乾淨的海洋調，有著舒服的皂香，雖持香度不高，但量大價優，整體來講是可以購入的高CP值香水:D,海洋清新調,佛手柑、海洋調、檸檬馬鞭草,天竺葵、薰衣草、杜松,勞丹脂、菸葉、木質調,https://www.1976.com.tw/prod/14831
Guy Laroche Drakkar Noir 姬龍雪黑色達卡男性淡香水,"1,450",780,50ml,"Drakkar Noir，如同周慕雲一樣，散發著男性的成熟和魅力。這款香水糅合了清新的柑橘、迷人的薰衣草和木質調，散發出周慕雲那種高貴優雅的氣質。它像是夜晚中的光芒，閃耀著奢華和浪漫，宛如周慕雲在花樣年華中的風采。

穿上Drakkar Noir，你就能感受到周慕雲那種充滿自信和風度的魅力，頭髮梳得油亮，西裝筆挺，成為夜晚中最迷人的男人。",木質東方調,檸檬、薰衣草、佛手柑,茴香、松樹,橡樹苔、香根草、雪松,https://www.1976.com.tw/prod/2619
Philipp Plein No Limit$ Gold 無限金卡淡香精,"2,780","1,680",50ml,Philipp Plein 無限金卡淡香精 以信用卡瓶身，這次換上了光滑的超奢華金黃色，而包裝盒則以珍貴的黃金和鉑金展示了該品牌的標誌。這樣如黃金般大膽的氣味將征服世界。,柑橘花香調 、 辛辣調,葡萄柚、薑、佛手柑,天竺葵、橙花、欖香脂,檀木、安息香、廣藿香,https://www.1976.com.tw/prod/21912
JOVAN Musk for Men 麝香男性古龍水,500,499,88ml,一開始是強烈皂香，就像剛洗完澡的香氣，很乾淨清爽。我花了一點時間習慣這個香味，是典型的皂香，留香度非常短。腦袋不清醒適用，兩天沒洗澡也可以用，但是要隨身攜帶。,木質調,木質,異國辛香香料,麝香,https://www.1976.com.tw/prod/7464
Perry Ellis 360°度男性淡香水,"2,499","1,450",100ml,這是我第一次在1976上買的香水，因為是盲買，所以剛開始還有點擔心踩雷。但是收到這罐之後發現是很時尚的味道，清新獨特，萬用百搭，非常適合年輕的帥哥們。想表現出自身的時尚氣質品味，又不想太出風頭的人，大推這罐。,草香清新調 、 東方清新調,杜松子、檸檬、佛手柑,薰衣草、荳蔻、小蒼蘭、鼠尾草、鳶尾花,香根草、麝香,https://www.1976.com.tw/prod/15505
Marly Pegasus 皮葛舒斯(飛馬)男性淡香精,"8,000","5,600",75ml,"既有皇家高貴的感覺又帶有異國氣息。
名副其實的誘人香味。",東方花香調,佛手柑、天芥菜、小茴香,杏仁茉莉、杏仁、薰衣草,琥珀、香草、檀香,https://www.1976.com.tw/prod/18193
